Name:	Tuffite
Type:	Rock
Class:	Volcanic
Particle size:	<= 2 mm
Sample No: 01
Owner:	Institute for Environmental Studies, Charles University, Prague, Czech Republic
Origin:	Czech Republic
Lat:	50.2367792
Lon:	12.6951397

toxicity:	0.069751
pH H2O:	2.73
pH KCl:	2.35
conductivity [µS.cm-1]:	468
water soluble Na [mg.g-1]:	104
water soluble K [mg.g-1]:	27
Al in KCl [mg.kg-1]:	1097.98
Fe in KCl [mg.kg-1]:	152.33
loss of ignition [%]:	16.85
polyphenol content []:	5.8

References:	Frouz et al. 2005. “Determination of Toxicity of Spoil Substrates after Brown Coal Mining Using a Laboratory Reproduction Test with Enchytraeus Crypticus (Oligochaeta).” Water, Air, and Soil Pollution 162 (1-4): 37–47.	

First Column [micrometers]:	wavelength
Second Column [percent]:	emissivity

8.001	0.9834
8.020	0.9812
8.038	0.9783
8.057	0.9798
8.075	0.9805
8.094	0.9778
8.113	0.9776
8.132	0.9792
8.151	0.9785
8.170	0.9775
8.189	0.9784
8.208	0.9787
8.228	0.9773
8.247	0.9752
8.267	0.9763
8.286	0.9769
8.306	0.9746
8.326	0.9726
8.346	0.9733
8.366	0.9751
8.386	0.9754
8.406	0.9746
8.427	0.9734
8.447	0.9737
8.468	0.9740
8.488	0.9728
8.509	0.9708
8.530	0.9715
8.551	0.9728
8.572	0.9709
8.593	0.9686
8.614	0.9688
8.635	0.9685
8.657	0.9664
8.678	0.9638
8.700	0.9615
8.722	0.9599
8.744	0.9582
8.766	0.9557
8.788	0.9527
8.810	0.9496
8.832	0.9482
8.855	0.9483
8.877	0.9490
8.900	0.9496
8.923	0.9514
8.945	0.9555
8.968	0.9598
8.992	0.9639
9.015	0.9656
9.038	0.9629
9.062	0.9580
9.085	0.9529
9.109	0.9473
9.133	0.9418
9.157	0.9368
9.181	0.9325
9.205	0.9281
9.229	0.9237
9.254	0.9196
9.279	0.9159
9.303	0.9130
9.328	0.9110
9.353	0.9096
9.378	0.9091
9.404	0.9096
9.429	0.9093
9.455	0.9096
9.480	0.9108
9.506	0.9109
9.532	0.9114
9.558	0.9125
9.585	0.9129
9.611	0.9133
9.637	0.9151
9.664	0.9179
9.691	0.9217
9.718	0.9279
9.745	0.9364
9.772	0.9428
9.800	0.9451
9.828	0.9453
9.855	0.9439
9.883	0.9410
9.911	0.9390
9.940	0.9393
9.968	0.9424
9.996	0.9476
10.025	0.9518
10.054	0.9545
10.083	0.9571
10.112	0.9594
10.142	0.9613
10.171	0.9631
10.201	0.9649
10.231	0.9665
10.261	0.9677
10.291	0.9687
10.322	0.9698
10.352	0.9711
10.383	0.9727
10.414	0.9740
10.445	0.9749
10.477	0.9754
10.508	0.9760
10.540	0.9763
10.572	0.9757
10.604	0.9748
10.636	0.9736
10.669	0.9724
10.702	0.9721
10.735	0.9719
10.768	0.9712
10.801	0.9702
10.835	0.9686
10.868	0.9668
10.902	0.9647
10.936	0.9626
10.971	0.9615
11.005	0.9611
11.040	0.9622
11.075	0.9636
11.110	0.9643
11.146	0.9654
11.182	0.9665
11.218	0.9666
11.254	0.9657
11.290	0.9653
11.327	0.9663
11.364	0.9675
11.401	0.9682
11.438	0.9686
11.476	0.9690
11.514	0.9693
11.552	0.9700
11.590	0.9705
11.629	0.9705
11.668	0.9706
11.707	0.9705
11.746	0.9707
11.786	0.9721
11.826	0.9741
11.866	0.9744
11.906	0.9728
11.947	0.9729
11.988	0.9741
12.029	0.9759
12.071	0.9769
12.113	0.9742
12.155	0.9742
12.198	0.9764
12.240	0.9771
12.283	0.9790
12.327	0.9805
12.371	0.9793
12.414	0.9776
12.459	0.9768
12.503	0.9751
12.548	0.9714
12.594	0.9726
12.639	0.9766
12.685	0.9773
12.731	0.9768
12.778	0.9771
12.825	0.9760
12.872	0.9746
12.920	0.9771
12.968	0.9786
13.016	0.9782
13.065	0.9793
13.114	0.9805
13.163	0.9807
13.213	0.9800
13.263	0.9777
13.314	0.9772
13.365	0.9776
13.416	0.9768
13.468	0.9755
13.520	0.9749
13.573	0.9761
13.626	0.9755
13.679	0.9736
13.733	0.9747
13.787	0.9784
13.842	0.9780
13.897	0.9736
13.952	0.9761
