Name:	Tertiary Clay - red
Type:	Rock
Class:	Sedimental
Particle size:	<= 2 mm
Sample No: 02
Owner:	Institute for Environmental Studies, Charles University, Prague, Czech Republic
Origin:	Czech Republic
Lat:	50.2320878
Lon:	12.6511919

toxicity:	0.624252
pH H2O:	7.74
pH KCl:	7.4
conductivity [µS.cm-1]:	182
water soluble Na [mg.g-1]:	104
water soluble K [mg.g-1]:	90
Al in KCl [mg.kg-1]:	1.4
Fe in KCl [mg.kg-1]:	1.26
loss of ignition [%]:	15.53
polyphenol content []:	0.5

References:	Frouz et al. 2005. “Determination of Toxicity of Spoil Substrates after Brown Coal Mining Using a Laboratory Reproduction Test with Enchytraeus Crypticus (Oligochaeta).” Water, Air, and Soil Pollution 162 (1-4): 37–47.

First Column [micrometers]:	wavelength
Second Column [percent]:	emissivity

8.001	0.9783
8.020	0.9769
8.038	0.9773
8.057	0.9764
8.075	0.9732
8.094	0.9751
8.113	0.9779
8.132	0.9778
8.151	0.9762
8.170	0.9772
8.189	0.9800
8.208	0.9777
8.228	0.9759
8.247	0.9764
8.267	0.9759
8.286	0.9772
8.306	0.9776
8.326	0.9748
8.346	0.9733
8.366	0.9751
8.386	0.9755
8.406	0.9753
8.427	0.9763
8.447	0.9768
8.468	0.9763
8.488	0.9759
8.509	0.9745
8.530	0.9738
8.551	0.9743
8.572	0.9730
8.593	0.9726
8.614	0.9732
8.635	0.9716
8.657	0.9691
8.678	0.9663
8.700	0.9633
8.722	0.9614
8.744	0.9597
8.766	0.9577
8.788	0.9546
8.810	0.9503
8.832	0.9481
8.855	0.9467
8.877	0.9452
8.900	0.9452
8.923	0.9493
8.945	0.9567
8.968	0.9639
8.992	0.9706
9.015	0.9723
9.038	0.9693
9.062	0.9646
9.085	0.9565
9.109	0.9489
9.133	0.9441
9.157	0.9379
9.181	0.9315
9.205	0.9266
9.229	0.9213
9.254	0.9166
9.279	0.9118
9.303	0.9072
9.328	0.9048
9.353	0.9033
9.378	0.9014
9.404	0.8999
9.429	0.8990
9.455	0.8990
9.480	0.8996
9.506	0.8998
9.532	0.9012
9.558	0.9035
9.585	0.9056
9.611	0.9081
9.637	0.9106
9.664	0.9135
9.691	0.9186
9.718	0.9274
9.745	0.9364
9.772	0.9420
9.800	0.9442
9.828	0.9434
9.855	0.9416
9.883	0.9393
9.911	0.9370
9.940	0.9376
9.968	0.9417
9.996	0.9468
10.025	0.9512
10.054	0.9548
10.083	0.9577
10.112	0.9599
10.142	0.9620
10.171	0.9638
10.201	0.9651
10.231	0.9664
10.261	0.9680
10.291	0.9698
10.322	0.9712
10.352	0.9727
10.383	0.9744
10.414	0.9758
10.445	0.9764
10.477	0.9770
10.508	0.9774
10.540	0.9767
10.572	0.9756
10.604	0.9743
10.636	0.9727
10.669	0.9715
10.702	0.9710
10.735	0.9710
10.768	0.9706
10.801	0.9688
10.835	0.9653
10.868	0.9627
10.902	0.9612
10.936	0.9591
10.971	0.9568
11.005	0.9560
11.040	0.9576
11.075	0.9601
11.110	0.9617
11.146	0.9621
11.182	0.9626
11.218	0.9632
11.254	0.9634
11.290	0.9636
11.327	0.9639
11.364	0.9642
11.401	0.9649
11.438	0.9656
11.476	0.9665
11.514	0.9681
11.552	0.9679
11.590	0.9671
11.629	0.9676
11.668	0.9672
11.707	0.9642
11.746	0.9637
11.786	0.9666
11.826	0.9682
11.866	0.9686
11.906	0.9680
11.947	0.9687
11.988	0.9721
12.029	0.9732
12.071	0.9698
12.113	0.9693
12.155	0.9709
12.198	0.9710
12.240	0.9709
12.283	0.9699
12.327	0.9694
12.371	0.9692
12.414	0.9679
12.459	0.9670
12.503	0.9648
12.548	0.9600
12.594	0.9634
12.639	0.9707
12.685	0.9715
12.731	0.9691
12.778	0.9684
12.825	0.9675
12.872	0.9656
12.920	0.9687
12.968	0.9702
13.016	0.9689
13.065	0.9705
13.114	0.9722
13.163	0.9713
13.213	0.9675
13.263	0.9617
13.314	0.9620
13.365	0.9624
13.416	0.9571
13.468	0.9518
13.520	0.9515
13.573	0.9527
13.626	0.9526
13.679	0.9505
13.733	0.9505
13.787	0.9562
13.842	0.9542
13.897	0.9458
13.952	0.9488
