Name:	Tertiary Clay - yellow
Type:	Rock
Class:	Sedimentary
Particle size:	<= 2 mm
Sample No: 03
Owner:	Institute for Environmental Studies, Charles University, Prague, Czech Republic
Origin:	Czech Republic
Lat:	50.2321933
Lon:	12.6512789

toxicity:	0.0
pH H2O:	2.85
pH KCl:	2.81
conductivity [µS.cm-1]:	1327
water soluble Na [mg.g-1]:	132
water soluble K [mg.g-1]:	5
Al in KCl [mg.kg-1]:	30.88
Fe in KCl [mg.kg-1]:	15.73
loss of ignition [%]:	34.43
polyphenol content []:	2.0

References:	Frouz et al. 2005. “Determination of Toxicity of Spoil Substrates after Brown Coal Mining Using a Laboratory Reproduction Test with Enchytraeus Crypticus (Oligochaeta).” Water, Air, and Soil Pollution 162 (1-4): 37–47.

First Column [micrometers]:	wavelength
Second Column [percent]:	emissivity

8.001	0.9980
8.020	0.9957
8.038	0.9921
8.057	0.9923
8.075	0.9951
8.094	0.9990
8.113	1.0002
8.132	0.9976
8.151	0.9937
8.170	0.9922
8.189	0.9986
8.208	1.0039
8.228	1.0005
8.247	0.9954
8.267	0.9936
8.286	0.9931
8.306	0.9941
8.326	0.9952
8.346	0.9944
8.366	0.9939
8.386	0.9937
8.406	0.9939
8.427	0.9944
8.447	0.9933
8.468	0.9926
8.488	0.9924
8.509	0.9915
8.530	0.9921
8.551	0.9937
8.572	0.9937
8.593	0.9933
8.614	0.9941
8.635	0.9944
8.657	0.9938
8.678	0.9929
8.700	0.9930
8.722	0.9936
8.744	0.9934
8.766	0.9925
8.788	0.9912
8.810	0.9901
8.832	0.9899
8.855	0.9886
8.877	0.9864
8.900	0.9851
8.923	0.9841
8.945	0.9821
8.968	0.9808
8.992	0.9806
9.015	0.9806
9.038	0.9807
9.062	0.9808
9.085	0.9803
9.109	0.9805
9.133	0.9810
9.157	0.9814
9.181	0.9826
9.205	0.9841
9.229	0.9854
9.254	0.9862
9.279	0.9867
9.303	0.9876
9.328	0.9880
9.353	0.9878
9.378	0.9879
9.404	0.9893
9.429	0.9908
9.455	0.9913
9.480	0.9914
9.506	0.9913
9.532	0.9896
9.558	0.9878
9.585	0.9867
9.611	0.9851
9.637	0.9835
9.664	0.9835
9.691	0.9836
9.718	0.9831
9.745	0.9834
9.772	0.9846
9.800	0.9853
9.828	0.9847
9.855	0.9836
9.883	0.9832
9.911	0.9824
9.940	0.9816
9.968	0.9811
9.996	0.9805
10.025	0.9802
10.054	0.9807
10.083	0.9807
10.112	0.9800
10.142	0.9796
10.171	0.9797
10.201	0.9801
10.231	0.9801
10.261	0.9790
10.291	0.9788
10.322	0.9796
10.352	0.9804
10.383	0.9810
10.414	0.9811
10.445	0.9809
10.477	0.9810
10.508	0.9815
10.540	0.9816
10.572	0.9817
10.604	0.9820
10.636	0.9817
10.669	0.9813
10.702	0.9808
10.735	0.9809
10.768	0.9816
10.801	0.9817
10.835	0.9810
10.868	0.9806
10.902	0.9804
10.936	0.9801
10.971	0.9795
11.005	0.9786
11.040	0.9788
11.075	0.9792
11.110	0.9791
11.146	0.9787
11.182	0.9790
11.218	0.9789
11.254	0.9775
11.290	0.9773
11.327	0.9784
11.364	0.9783
11.401	0.9787
11.438	0.9797
11.476	0.9799
11.514	0.9803
11.552	0.9803
11.590	0.9795
11.629	0.9795
11.668	0.9798
11.707	0.9793
11.746	0.9798
11.786	0.9811
11.826	0.9813
11.866	0.9805
11.906	0.9795
11.947	0.9805
11.988	0.9819
12.029	0.9797
12.071	0.9768
12.113	0.9781
12.155	0.9800
12.198	0.9817
12.240	0.9828
12.283	0.9825
12.327	0.9832
12.371	0.9847
12.414	0.9845
12.459	0.9824
12.503	0.9826
12.548	0.9816
12.594	0.9778
12.639	0.9797
12.685	0.9819
12.731	0.9816
12.778	0.9806
12.825	0.9806
12.872	0.9817
12.920	0.9829
12.968	0.9826
13.016	0.9826
13.065	0.9833
13.114	0.9849
13.163	0.9857
13.213	0.9830
13.263	0.9804
13.314	0.9819
13.365	0.9844
13.416	0.9844
13.468	0.9788
13.520	0.9741
13.573	0.9780
13.626	0.9791
13.679	0.9744
13.733	0.9809
13.787	0.9920
13.842	0.9900
13.897	0.9853
13.952	0.9879
