Name:	Tertiary Clay - Cypris serie
Type:	Rock
Class:	Sedimentary
Particle size:	<= 2 mm
Sample No: 04
Owner:	Institute for Environmental Studies, Charles University, Prague, Czech Republic
Origin:	Czech Republic
Lat:	50.2370125
Lon:	12.6944064

toxicity:	1.06525
pH H2O:	7.63
pH KCl:	7.37
conductivity [µS.cm-1]:	601
water soluble Na [mg.g-1]:	164
water soluble K [mg.g-1]:	14
Al in KCl [mg.kg-1]:	0.55
Fe in KCl [mg.kg-1]:	1.21
loss of ignition [%]:	17.34
polyphenol content []:	1.7

References:	Frouz et al. 2005. “Determination of Toxicity of Spoil Substrates after Brown Coal Mining Using a Laboratory Reproduction Test with Enchytraeus Crypticus (Oligochaeta).” Water, Air, and Soil Pollution 162 (1-4): 37–47.

First Column [micrometers]:	wavelength
Second Column [percent]:	emissivity

8.001	0.9664
8.020	0.9661
8.038	0.9654
8.057	0.9676
8.075	0.9678
8.094	0.9667
8.113	0.9650
8.132	0.9634
8.151	0.9636
8.170	0.9648
8.189	0.9653
8.208	0.9658
8.228	0.9653
8.247	0.9636
8.267	0.9634
8.286	0.9641
8.306	0.9645
8.326	0.9648
8.346	0.9645
8.366	0.9644
8.386	0.9648
8.406	0.9647
8.427	0.9646
8.447	0.9652
8.468	0.9652
8.488	0.9648
8.509	0.9644
8.530	0.9650
8.551	0.9660
8.572	0.9660
8.593	0.9655
8.614	0.9653
8.635	0.9649
8.657	0.9644
8.678	0.9637
8.700	0.9617
8.722	0.9599
8.744	0.9588
8.766	0.9580
8.788	0.9571
8.810	0.9558
8.832	0.9551
8.855	0.9547
8.877	0.9544
8.900	0.9546
8.923	0.9560
8.945	0.9588
8.968	0.9617
8.992	0.9644
9.015	0.9664
9.038	0.9654
9.062	0.9624
9.085	0.9584
9.109	0.9528
9.133	0.9481
9.157	0.9440
9.181	0.9397
9.205	0.9351
9.229	0.9303
9.254	0.9259
9.279	0.9224
9.303	0.9200
9.328	0.9170
9.353	0.9137
9.378	0.9109
9.404	0.9095
9.429	0.9091
9.455	0.9073
9.480	0.9047
9.506	0.9036
9.532	0.9033
9.558	0.9025
9.585	0.9026
9.611	0.9041
9.637	0.9059
9.664	0.9074
9.691	0.9105
9.718	0.9170
9.745	0.9239
9.772	0.9289
9.800	0.9323
9.828	0.9331
9.855	0.9321
9.883	0.9308
9.911	0.9304
9.940	0.9316
9.968	0.9346
9.996	0.9387
10.025	0.9430
10.054	0.9470
10.083	0.9493
10.112	0.9505
10.142	0.9524
10.171	0.9546
10.201	0.9559
10.231	0.9570
10.261	0.9589
10.291	0.9609
10.322	0.9617
10.352	0.9623
10.383	0.9636
10.414	0.9651
10.445	0.9665
10.477	0.9675
10.508	0.9684
10.540	0.9693
10.572	0.9697
10.604	0.9696
10.636	0.9695
10.669	0.9693
10.702	0.9691
10.735	0.9694
10.768	0.9701
10.801	0.9700
10.835	0.9689
10.868	0.9675
10.902	0.9658
10.936	0.9638
10.971	0.9624
11.005	0.9618
11.040	0.9617
11.075	0.9619
11.110	0.9624
11.146	0.9632
11.182	0.9644
11.218	0.9653
11.254	0.9653
11.290	0.9652
11.327	0.9656
11.364	0.9662
11.401	0.9665
11.438	0.9675
11.476	0.9683
11.514	0.9679
11.552	0.9680
11.590	0.9692
11.629	0.9706
11.668	0.9709
11.707	0.9705
11.746	0.9709
11.786	0.9711
11.826	0.9707
11.866	0.9714
11.906	0.9727
11.947	0.9737
11.988	0.9739
12.029	0.9730
12.071	0.9721
12.113	0.9737
12.155	0.9758
12.198	0.9762
12.240	0.9764
12.283	0.9773
12.327	0.9771
12.371	0.9761
12.414	0.9770
12.459	0.9788
12.503	0.9786
12.548	0.9769
12.594	0.9773
12.639	0.9783
12.685	0.9784
12.731	0.9782
12.778	0.9784
12.825	0.9788
12.872	0.9799
12.920	0.9815
12.968	0.9819
13.016	0.9817
13.065	0.9816
13.114	0.9815
13.163	0.9810
13.213	0.9795
13.263	0.9787
13.314	0.9805
13.365	0.9817
13.416	0.9798
13.468	0.9762
13.520	0.9751
13.573	0.9762
13.626	0.9756
13.679	0.9720
13.733	0.9704
13.787	0.9755
13.842	0.9783
13.897	0.9727
13.952	0.9720
