Name:	Tertiary coal rich sand
Type:	Rock
Class:	Sedimentary
Particle size:	<= 2 mm
Sample No: 06
Owner:	Institute for Environmental Studies, Charles University, Prague, Czech Republic
Origin:	Czech Republic
Lat:	50.2126503
Lon:	12.6441711

toxicity:	0.0
pH H2O:	2.57
pH KCl:	2.31
conductivity [µS.cm-1]:	572
water soluble Na [mg.g-1]:	84
water soluble K [mg.g-1]:	5
Al in KCl [mg.kg-1]:	176.29
Fe in KCl [mg.kg-1]:	109.73
loss of ignition [%]:	31.97
polyphenol content []:	29.5

References:	Frouz et al. 2005. “Determination of Toxicity of Spoil Substrates after Brown Coal Mining Using a Laboratory Reproduction Test with Enchytraeus Crypticus (Oligochaeta).” Water, Air, and Soil Pollution 162 (1-4): 37–47.

First Column [micrometers]:	wavelength
Second Column [percent]:	emissivity

8.001	0.9669
8.020	0.9643
8.038	0.9611
8.057	0.9582
8.075	0.9524
8.094	0.9456
8.113	0.9412
8.132	0.9373
8.151	0.9341
8.170	0.9299
8.189	0.9278
8.208	0.9293
8.228	0.9269
8.247	0.9220
8.267	0.9193
8.286	0.9172
8.306	0.9152
8.326	0.9162
8.346	0.9184
8.366	0.9165
8.386	0.9146
8.406	0.9143
8.427	0.9138
8.447	0.9130
8.468	0.9121
8.488	0.9122
8.509	0.9132
8.530	0.9137
8.551	0.9135
8.572	0.9151
8.593	0.9197
8.614	0.9238
8.635	0.9254
8.657	0.9229
8.678	0.9177
8.700	0.9127
8.722	0.9098
8.744	0.9080
8.766	0.9065
8.788	0.9054
8.810	0.9044
8.832	0.9039
8.855	0.9042
8.877	0.9057
8.900	0.9083
8.923	0.9143
8.945	0.9222
8.968	0.9270
8.992	0.9289
9.015	0.9270
9.038	0.9234
9.062	0.9198
9.085	0.9160
9.109	0.9128
9.133	0.9109
9.157	0.9085
9.181	0.9062
9.205	0.9045
9.229	0.9029
9.254	0.9016
9.279	0.9009
9.303	0.9012
9.328	0.9029
9.353	0.9055
9.378	0.9089
9.404	0.9127
9.429	0.9166
9.455	0.9202
9.480	0.9225
9.506	0.9246
9.532	0.9268
9.558	0.9278
9.585	0.9282
9.611	0.9291
9.637	0.9304
9.664	0.9326
9.691	0.9361
9.718	0.9416
9.745	0.9474
9.772	0.9518
9.800	0.9536
9.828	0.9525
9.855	0.9505
9.883	0.9491
9.911	0.9486
9.940	0.9501
9.968	0.9527
9.996	0.9554
10.025	0.9574
10.054	0.9591
10.083	0.9609
10.112	0.9620
10.142	0.9625
10.171	0.9635
10.201	0.9645
10.231	0.9652
10.261	0.9662
10.291	0.9667
10.322	0.9671
10.352	0.9682
10.383	0.9691
10.414	0.9700
10.445	0.9707
10.477	0.9708
10.508	0.9708
10.540	0.9709
10.572	0.9709
10.604	0.9705
10.636	0.9701
10.669	0.9698
10.702	0.9695
10.735	0.9685
10.768	0.9672
10.801	0.9663
10.835	0.9653
10.868	0.9643
10.902	0.9637
10.936	0.9621
10.971	0.9607
11.005	0.9604
11.040	0.9604
11.075	0.9608
11.110	0.9617
11.146	0.9621
11.182	0.9618
11.218	0.9611
11.254	0.9603
11.290	0.9599
11.327	0.9604
11.364	0.9610
11.401	0.9613
11.438	0.9614
11.476	0.9618
11.514	0.9625
11.552	0.9634
11.590	0.9648
11.629	0.9653
11.668	0.9644
11.707	0.9621
11.746	0.9625
11.786	0.9661
11.826	0.9664
11.866	0.9642
11.906	0.9638
11.947	0.9654
11.988	0.9668
12.029	0.9719
12.071	0.9767
12.113	0.9725
12.155	0.9704
12.198	0.9722
12.240	0.9711
12.283	0.9705
12.327	0.9710
12.371	0.9686
12.414	0.9637
12.459	0.9587
12.503	0.9536
12.548	0.9515
12.594	0.9574
12.639	0.9607
12.685	0.9589
12.731	0.9558
12.778	0.9537
12.825	0.9525
12.872	0.9514
12.920	0.9547
12.968	0.9574
13.016	0.9584
13.065	0.9612
13.114	0.9631
13.163	0.9633
13.213	0.9617
13.263	0.9594
13.314	0.9594
13.365	0.9586
13.416	0.9558
13.468	0.9521
13.520	0.9486
13.573	0.9486
13.626	0.9487
13.679	0.9474
13.733	0.9488
13.787	0.9512
13.842	0.9489
13.897	0.9452
13.952	0.9463
