Name:	Tertiary clay - red
Type:	Rock
Class:	sedimentary
Particle size:	<= 2 mm
Sample No: 07
Owner:	Institute for Environmental Studies, Charles University, Prague, Czech Republic
Origin:	Czech Republic
Lat:	50.2128425
Lon:	12.6435061

toxicity:	0.63377
pH H2O:	5.94
pH KCl:	5.75
conductivity [µS.cm-1]:	146
water soluble Na [mg.g-1]:	61
water soluble K [mg.g-1]:	37
Al in KCl [mg.kg-1]:	1.14
Fe in KCl [mg.kg-1]:	1.179
loss of ignition [%]:	12.33
polyphenol content []:	0.8

References:	Frouz et al. 2005. “Determination of Toxicity of Spoil Substrates after Brown Coal Mining Using a Laboratory Reproduction Test with Enchytraeus Crypticus (Oligochaeta).” Water, Air, and Soil Pollution 162 (1-4): 37–47.

First Column [micrometers]:	wavelength
Second Column [percent]:	emissivity

8.001	0.9743
8.020	0.9753
8.038	0.9763
8.057	0.9778
8.075	0.9772
8.094	0.9754
8.113	0.9764
8.132	0.9783
8.151	0.9776
8.170	0.9769
8.189	0.9790
8.208	0.9803
8.228	0.9799
8.247	0.9784
8.267	0.9798
8.286	0.9800
8.306	0.9783
8.326	0.9790
8.346	0.9804
8.366	0.9810
8.386	0.9817
8.406	0.9815
8.427	0.9803
8.447	0.9796
8.468	0.9798
8.488	0.9803
8.509	0.9797
8.530	0.9796
8.551	0.9795
8.572	0.9789
8.593	0.9793
8.614	0.9791
8.635	0.9777
8.657	0.9762
8.678	0.9745
8.700	0.9723
8.722	0.9698
8.744	0.9677
8.766	0.9659
8.788	0.9630
8.810	0.9592
8.832	0.9577
8.855	0.9569
8.877	0.9575
8.900	0.9601
8.923	0.9649
8.945	0.9715
8.968	0.9776
8.992	0.9827
9.015	0.9852
9.038	0.9835
9.062	0.9798
9.085	0.9756
9.109	0.9697
9.133	0.9642
9.157	0.9590
9.181	0.9535
9.205	0.9486
9.229	0.9431
9.254	0.9381
9.279	0.9350
9.303	0.9322
9.328	0.9300
9.353	0.9285
9.378	0.9277
9.404	0.9285
9.429	0.9298
9.455	0.9310
9.480	0.9322
9.506	0.9331
9.532	0.9345
9.558	0.9368
9.585	0.9386
9.611	0.9401
9.637	0.9425
9.664	0.9451
9.691	0.9478
9.718	0.9524
9.745	0.9594
9.772	0.9651
9.800	0.9671
9.828	0.9668
9.855	0.9650
9.883	0.9630
9.911	0.9623
9.940	0.9632
9.968	0.9642
9.996	0.9658
10.025	0.9687
10.054	0.9706
10.083	0.9715
10.112	0.9731
10.142	0.9747
10.171	0.9755
10.201	0.9768
10.231	0.9785
10.261	0.9799
10.291	0.9813
10.322	0.9830
10.352	0.9846
10.383	0.9860
10.414	0.9874
10.445	0.9888
10.477	0.9901
10.508	0.9905
10.540	0.9901
10.572	0.9886
10.604	0.9868
10.636	0.9858
10.669	0.9856
10.702	0.9855
10.735	0.9858
10.768	0.9855
10.801	0.9837
10.835	0.9818
10.868	0.9807
10.902	0.9795
10.936	0.9779
10.971	0.9767
11.005	0.9759
11.040	0.9760
11.075	0.9762
11.110	0.9762
11.146	0.9771
11.182	0.9782
11.218	0.9789
11.254	0.9794
11.290	0.9794
11.327	0.9799
11.364	0.9804
11.401	0.9803
11.438	0.9810
11.476	0.9816
11.514	0.9814
11.552	0.9818
11.590	0.9828
11.629	0.9824
11.668	0.9813
11.707	0.9819
11.746	0.9844
11.786	0.9851
11.826	0.9847
11.866	0.9848
11.906	0.9856
11.947	0.9857
11.988	0.9852
12.029	0.9878
12.071	0.9932
12.113	0.9938
12.155	0.9903
12.198	0.9896
12.240	0.9908
12.283	0.9906
12.327	0.9907
12.371	0.9922
12.414	0.9927
12.459	0.9927
12.503	0.9926
12.548	0.9906
12.594	0.9894
12.639	0.9911
12.685	0.9922
12.731	0.9920
12.778	0.9918
12.825	0.9916
12.872	0.9919
12.920	0.9927
12.968	0.9920
13.016	0.9917
13.065	0.9926
13.114	0.9931
13.163	0.9933
13.213	0.9940
13.263	0.9943
13.314	0.9939
13.365	0.9942
13.416	0.9968
13.468	0.9959
13.520	0.9906
13.573	0.9894
13.626	0.9904
13.679	0.9938
13.733	0.9995
13.787	1.0020
13.842	0.9980
13.897	0.9937
13.952	0.9991
