Name:	Tufits
Type:	Rock
Class:	volcanic
Particle size:	<= 2 mm
Sample No: 09
Owner:	Institute for Environmental Studies, Charles University, Prague, Czech Republic
Origin:	Czech Republic
Lat:	50.2127053
Lon:	12.6426692

toxicity:	0.06117
pH H2O:	4.63
pH KCl:	4.01
conductivity [µS.cm-1]:	106
water soluble Na [mg.g-1]:	28
water soluble K [mg.g-1]:	37
Al in KCl [mg.kg-1]:	75.45
Fe in KCl [mg.kg-1]:	7.61
loss of ignition [%]:	15.63
polyphenol content []:	1.8

References:	Frouz et al. 2005. “Determination of Toxicity of Spoil Substrates after Brown Coal Mining Using a Laboratory Reproduction Test with Enchytraeus Crypticus (Oligochaeta).” Water, Air, and Soil Pollution 162 (1-4): 37–47.

First Column [micrometers]:	wavelength
Second Column [percent]:	emissivity

8.001	0.9898
8.020	0.9889
8.038	0.9892
8.057	0.9891
8.075	0.9854
8.094	0.9858
8.113	0.9868
8.132	0.9868
8.151	0.9879
8.170	0.9880
8.189	0.9885
8.208	0.9893
8.228	0.9898
8.247	0.9886
8.267	0.9873
8.286	0.9885
8.306	0.9886
8.326	0.9900
8.346	0.9912
8.366	0.9885
8.386	0.9875
8.406	0.9876
8.427	0.9876
8.447	0.9885
8.468	0.9882
8.488	0.9869
8.509	0.9858
8.530	0.9858
8.551	0.9856
8.572	0.9848
8.593	0.9840
8.614	0.9827
8.635	0.9817
8.657	0.9806
8.678	0.9788
8.700	0.9760
8.722	0.9742
8.744	0.9721
8.766	0.9687
8.788	0.9641
8.810	0.9576
8.832	0.9545
8.855	0.9536
8.877	0.9526
8.900	0.9533
8.923	0.9570
8.945	0.9628
8.968	0.9692
8.992	0.9754
9.015	0.9773
9.038	0.9750
9.062	0.9716
9.085	0.9663
9.109	0.9587
9.133	0.9525
9.157	0.9468
9.181	0.9399
9.205	0.9331
9.229	0.9269
9.254	0.9217
9.279	0.9179
9.303	0.9144
9.328	0.9112
9.353	0.9095
9.378	0.9083
9.404	0.9069
9.429	0.9062
9.455	0.9067
9.480	0.9065
9.506	0.9063
9.532	0.9066
9.558	0.9068
9.585	0.9074
9.611	0.9090
9.637	0.9113
9.664	0.9149
9.691	0.9204
9.718	0.9287
9.745	0.9371
9.772	0.9423
9.800	0.9441
9.828	0.9427
9.855	0.9404
9.883	0.9387
9.911	0.9374
9.940	0.9390
9.968	0.9436
9.996	0.9492
10.025	0.9542
10.054	0.9580
10.083	0.9608
10.112	0.9631
10.142	0.9656
10.171	0.9679
10.201	0.9696
10.231	0.9713
10.261	0.9734
10.291	0.9751
10.322	0.9770
10.352	0.9789
10.383	0.9802
10.414	0.9815
10.445	0.9833
10.477	0.9853
10.508	0.9862
10.540	0.9857
10.572	0.9844
10.604	0.9824
10.636	0.9801
10.669	0.9792
10.702	0.9798
10.735	0.9796
10.768	0.9790
10.801	0.9785
10.835	0.9771
10.868	0.9751
10.902	0.9726
10.936	0.9696
10.971	0.9681
11.005	0.9689
11.040	0.9708
11.075	0.9728
11.110	0.9747
11.146	0.9758
11.182	0.9759
11.218	0.9763
11.254	0.9777
11.290	0.9792
11.327	0.9792
11.364	0.9794
11.401	0.9808
11.438	0.9816
11.476	0.9823
11.514	0.9840
11.552	0.9857
11.590	0.9856
11.629	0.9856
11.668	0.9865
11.707	0.9878
11.746	0.9901
11.786	0.9904
11.826	0.9894
11.866	0.9882
11.906	0.9884
11.947	0.9887
11.988	0.9876
12.029	0.9894
12.071	0.9933
12.113	0.9947
12.155	0.9923
12.198	0.9902
12.240	0.9910
12.283	0.9942
12.327	0.9974
12.371	0.9976
12.414	0.9963
12.459	0.9951
12.503	0.9947
12.548	0.9949
12.594	0.9937
12.639	0.9925
12.685	0.9917
12.731	0.9930
12.778	0.9942
12.825	0.9934
12.872	0.9929
12.920	0.9931
12.968	0.9937
13.016	0.9940
13.065	0.9942
13.114	0.9932
13.163	0.9921
13.213	0.9931
13.263	0.9950
13.314	0.9967
13.365	0.9967
13.416	0.9953
13.468	0.9932
13.520	0.9919
13.573	0.9932
13.626	0.9942
13.679	0.9939
13.733	0.9936
13.787	0.9924
13.842	0.9876
13.897	0.9827
13.952	0.9873
