Name:	Coal rich clay
Type:	Rock
Class:	sedimentary
Particle size:	<= 2 mm
Sample No: 11
Owner:	Institute for Environmental Studies, Charles University, Prague, Czech Republic
Origin:	Czech Republic
Lat:	50.2322550
Lon:	12.6516706

toxicity:	0.0
pH H2O:	2.21
pH KCl:	2.2
conductivity [µS.cm-1]:	2060
water soluble Na [mg.g-1]:	20
water soluble K [mg.g-1]:	8
Al in KCl [mg.kg-1]:	609.86
Fe in KCl [mg.kg-1]:	360.77
loss of ignition [%]:	19.32
polyphenol content []:	15.7

References:	Frouz et al. 2005. “Determination of Toxicity of Spoil Substrates after Brown Coal Mining Using a Laboratory Reproduction Test with Enchytraeus Crypticus (Oligochaeta).” Water, Air, and Soil Pollution 162 (1-4): 37–47.

First Column [micrometers]:	wavelength
Second Column [percent]:	emissivity

8.001	0.9856
8.020	0.9840
8.038	0.9822
8.057	0.9831
8.075	0.9832
8.094	0.9813
8.113	0.9805
8.132	0.9806
8.151	0.9796
8.170	0.9782
8.189	0.9784
8.208	0.9796
8.228	0.9797
8.247	0.9779
8.267	0.9784
8.286	0.9782
8.306	0.9753
8.326	0.9731
8.346	0.9740
8.366	0.9758
8.386	0.9757
8.406	0.9750
8.427	0.9739
8.447	0.9735
8.468	0.9731
8.488	0.9721
8.509	0.9706
8.530	0.9710
8.551	0.9722
8.572	0.9709
8.593	0.9687
8.614	0.9684
8.635	0.9680
8.657	0.9662
8.678	0.9639
8.700	0.9614
8.722	0.9595
8.744	0.9576
8.766	0.9554
8.788	0.9533
8.810	0.9508
8.832	0.9490
8.855	0.9483
8.877	0.9484
8.900	0.9493
8.923	0.9528
8.945	0.9583
8.968	0.9634
8.992	0.9683
9.015	0.9706
9.038	0.9685
9.062	0.9642
9.085	0.9597
9.109	0.9544
9.133	0.9496
9.157	0.9460
9.181	0.9421
9.205	0.9376
9.229	0.9337
9.254	0.9299
9.279	0.9264
9.303	0.9233
9.328	0.9208
9.353	0.9193
9.378	0.9190
9.404	0.9194
9.429	0.9184
9.455	0.9182
9.480	0.9191
9.506	0.9185
9.532	0.9182
9.558	0.9188
9.585	0.9187
9.611	0.9192
9.637	0.9222
9.664	0.9260
9.691	0.9305
9.718	0.9379
9.745	0.9467
9.772	0.9528
9.800	0.9555
9.828	0.9557
9.855	0.9533
9.883	0.9494
9.911	0.9470
9.940	0.9470
9.968	0.9499
9.996	0.9546
10.025	0.9580
10.054	0.9602
10.083	0.9624
10.112	0.9643
10.142	0.9661
10.171	0.9676
10.201	0.9692
10.231	0.9711
10.261	0.9725
10.291	0.9734
10.322	0.9745
10.352	0.9762
10.383	0.9779
10.414	0.9790
10.445	0.9797
10.477	0.9807
10.508	0.9820
10.540	0.9823
10.572	0.9817
10.604	0.9808
10.636	0.9794
10.669	0.9784
10.702	0.9782
10.735	0.9781
10.768	0.9778
10.801	0.9770
10.835	0.9752
10.868	0.9733
10.902	0.9710
10.936	0.9689
10.971	0.9682
11.005	0.9680
11.040	0.9688
11.075	0.9701
11.110	0.9708
11.146	0.9714
11.182	0.9719
11.218	0.9726
11.254	0.9723
11.290	0.9715
11.327	0.9721
11.364	0.9732
11.401	0.9739
11.438	0.9743
11.476	0.9750
11.514	0.9756
11.552	0.9761
11.590	0.9762
11.629	0.9764
11.668	0.9772
11.707	0.9777
11.746	0.9782
11.786	0.9791
11.826	0.9795
11.866	0.9788
11.906	0.9782
11.947	0.9794
11.988	0.9809
12.029	0.9820
12.071	0.9803
12.113	0.9772
12.155	0.9797
12.198	0.9830
12.240	0.9848
12.283	0.9866
12.327	0.9865
12.371	0.9864
12.414	0.9863
12.459	0.9851
12.503	0.9843
12.548	0.9835
12.594	0.9834
12.639	0.9845
12.685	0.9849
12.731	0.9849
12.778	0.9851
12.825	0.9838
12.872	0.9823
12.920	0.9842
12.968	0.9859
13.016	0.9857
13.065	0.9860
13.114	0.9869
13.163	0.9875
13.213	0.9876
13.263	0.9871
13.314	0.9869
13.365	0.9866
13.416	0.9863
13.468	0.9864
13.520	0.9869
13.573	0.9881
13.626	0.9864
13.679	0.9835
13.733	0.9837
13.787	0.9860
13.842	0.9858
13.897	0.9833
13.952	0.9868
