Name:	Tertiary clay - Cypris serie
Type:	Rock
Class:	sedimentary
Particle size:	<= 2 mm
Sample No: 12
Owner:	Institute for Environmental Studies, Charles University, Prague, Czech Republic
Origin:	Czech Republic
Lat:	50.2323228
Lon:	12.6514586

toxicity:	0.65836
pH H2O:	7.95
pH KCl:	7.44
conductivity [µS.cm-1]:	236
water soluble Na [mg.g-1]:	165
water soluble K [mg.g-1]:	187
Al in KCl [mg.kg-1]:	2.29
Fe in KCl [mg.kg-1]:	1.53
loss of ignition [%]:	27.11
polyphenol content []:	0.4

References:	Frouz et al. 2005. “Determination of Toxicity of Spoil Substrates after Brown Coal Mining Using a Laboratory Reproduction Test with Enchytraeus Crypticus (Oligochaeta).” Water, Air, and Soil Pollution 162 (1-4): 37–47.

First Column [micrometers]:	wavelength
Second Column [percent]:	emissivity

8.001	0.9523
8.020	0.9509
8.038	0.9517
8.057	0.9531
8.075	0.9517
8.094	0.9505
8.113	0.9478
8.132	0.9479
8.151	0.9512
8.170	0.9510
8.189	0.9508
8.208	0.9518
8.228	0.9530
8.247	0.9524
8.267	0.9514
8.286	0.9531
8.306	0.9538
8.326	0.9558
8.346	0.9578
8.366	0.9548
8.386	0.9541
8.406	0.9549
8.427	0.9539
8.447	0.9544
8.468	0.9552
8.488	0.9551
8.509	0.9546
8.530	0.9549
8.551	0.9553
8.572	0.9557
8.593	0.9562
8.614	0.9556
8.635	0.9549
8.657	0.9541
8.678	0.9525
8.700	0.9507
8.722	0.9492
8.744	0.9475
8.766	0.9459
8.788	0.9436
8.810	0.9390
8.832	0.9370
8.855	0.9370
8.877	0.9364
8.900	0.9367
8.923	0.9392
8.945	0.9432
8.968	0.9488
8.992	0.9549
9.015	0.9567
9.038	0.9535
9.062	0.9488
9.085	0.9426
9.109	0.9344
9.133	0.9282
9.157	0.9228
9.181	0.9167
9.205	0.9108
9.229	0.9052
9.254	0.9001
9.279	0.8960
9.303	0.8919
9.328	0.8882
9.353	0.8860
9.378	0.8836
9.404	0.8808
9.429	0.8789
9.455	0.8781
9.480	0.8768
9.506	0.8753
9.532	0.8739
9.558	0.8730
9.585	0.8731
9.611	0.8741
9.637	0.8761
9.664	0.8798
9.691	0.8857
9.718	0.8946
9.745	0.9046
9.772	0.9119
9.800	0.9158
9.828	0.9161
9.855	0.9144
9.883	0.9122
9.911	0.9099
9.940	0.9112
9.968	0.9165
9.996	0.9233
10.025	0.9296
10.054	0.9344
10.083	0.9372
10.112	0.9395
10.142	0.9422
10.171	0.9444
10.201	0.9461
10.231	0.9484
10.261	0.9508
10.291	0.9524
10.322	0.9541
10.352	0.9561
10.383	0.9578
10.414	0.9596
10.445	0.9619
10.477	0.9641
10.508	0.9652
10.540	0.9659
10.572	0.9665
10.604	0.9659
10.636	0.9645
10.669	0.9641
10.702	0.9646
10.735	0.9644
10.768	0.9639
10.801	0.9636
10.835	0.9626
10.868	0.9610
10.902	0.9582
10.936	0.9546
10.971	0.9521
11.005	0.9515
11.040	0.9527
11.075	0.9546
11.110	0.9560
11.146	0.9563
11.182	0.9564
11.218	0.9564
11.254	0.9566
11.290	0.9577
11.327	0.9581
11.364	0.9585
11.401	0.9601
11.438	0.9610
11.476	0.9612
11.514	0.9628
11.552	0.9645
11.590	0.9645
11.629	0.9648
11.668	0.9649
11.707	0.9645
11.746	0.9668
11.786	0.9693
11.826	0.9681
11.866	0.9656
11.906	0.9669
11.947	0.9690
11.988	0.9682
12.029	0.9704
12.071	0.9754
12.113	0.9770
12.155	0.9741
12.198	0.9723
12.240	0.9726
12.283	0.9737
12.327	0.9757
12.371	0.9769
12.414	0.9770
12.459	0.9760
12.503	0.9746
12.548	0.9748
12.594	0.9767
12.639	0.9756
12.685	0.9744
12.731	0.9755
12.778	0.9760
12.825	0.9752
12.872	0.9747
12.920	0.9757
12.968	0.9768
13.016	0.9773
13.065	0.9780
13.114	0.9774
13.163	0.9770
13.213	0.9773
13.263	0.9773
13.314	0.9784
13.365	0.9777
13.416	0.9752
13.468	0.9717
13.520	0.9705
13.573	0.9728
13.626	0.9735
13.679	0.9724
13.733	0.9725
13.787	0.9743
13.842	0.9711
13.897	0.9649
13.952	0.9673
