Name:	Tertiary clay – Cypris serie – grey
Type:	Rock
Class:	sedimentary
Particle size:	<= 2 mm
Sample No: 17
Owner:	Institute for Environmental Studies, Charles University, Prague, Czech Republic
Origin:	Czech Republic
Lat:	50.2323269
Lon:	12.6506031

toxicity:	0.62175
pH H2O:	6.75
pH KCl:	6.43
conductivity [µS.cm-1]:	177
water soluble Na [mg.g-1]:	85
water soluble K [mg.g-1]:	63
Al in KCl [mg.kg-1]:	3.69
Fe in KCl [mg.kg-1]:	1.39
loss of ignition [%]:	16.54
polyphenol content []:	0.1

References:	Frouz et al. 2005. “Determination of Toxicity of Spoil Substrates after Brown Coal Mining Using a Laboratory Reproduction Test with Enchytraeus Crypticus (Oligochaeta).” Water, Air, and Soil Pollution 162 (1-4): 37–47.

First Column [micrometers]:	wavelength
Second Column [percent]:	emissivity

8.001	0.9942
8.020	0.9940
8.038	0.9912
8.057	0.9909
8.075	0.9937
8.094	0.9956
8.113	0.9956
8.132	0.9946
8.151	0.9935
8.170	0.9940
8.189	0.9959
8.208	0.9961
8.228	0.9952
8.247	0.9943
8.267	0.9940
8.286	0.9939
8.306	0.9941
8.326	0.9945
8.346	0.9937
8.366	0.9928
8.386	0.9925
8.406	0.9927
8.427	0.9932
8.447	0.9927
8.468	0.9922
8.488	0.9915
8.509	0.9909
8.530	0.9906
8.551	0.9902
8.572	0.9897
8.593	0.9886
8.614	0.9871
8.635	0.9861
8.657	0.9854
8.678	0.9832
8.700	0.9798
8.722	0.9770
8.744	0.9738
8.766	0.9700
8.788	0.9658
8.810	0.9614
8.832	0.9591
8.855	0.9570
8.877	0.9557
8.900	0.9576
8.923	0.9631
8.945	0.9706
8.968	0.9776
8.992	0.9838
9.015	0.9860
9.038	0.9835
9.062	0.9791
9.085	0.9744
9.109	0.9687
9.133	0.9628
9.157	0.9565
9.181	0.9498
9.205	0.9434
9.229	0.9363
9.254	0.9295
9.279	0.9250
9.303	0.9218
9.328	0.9185
9.353	0.9168
9.378	0.9165
9.404	0.9149
9.429	0.9140
9.455	0.9151
9.480	0.9165
9.506	0.9176
9.532	0.9187
9.558	0.9202
9.585	0.9218
9.611	0.9244
9.637	0.9283
9.664	0.9323
9.691	0.9369
9.718	0.9434
9.745	0.9504
9.772	0.9553
9.800	0.9574
9.828	0.9567
9.855	0.9544
9.883	0.9521
9.911	0.9513
9.940	0.9527
9.968	0.9558
9.996	0.9595
10.025	0.9631
10.054	0.9663
10.083	0.9687
10.112	0.9705
10.142	0.9724
10.171	0.9742
10.201	0.9759
10.231	0.9775
10.261	0.9790
10.291	0.9806
10.322	0.9825
10.352	0.9842
10.383	0.9855
10.414	0.9870
10.445	0.9883
10.477	0.9890
10.508	0.9892
10.540	0.9884
10.572	0.9868
10.604	0.9845
10.636	0.9824
10.669	0.9817
10.702	0.9820
10.735	0.9818
10.768	0.9812
10.801	0.9806
10.835	0.9783
10.868	0.9752
10.902	0.9724
10.936	0.9699
10.971	0.9691
11.005	0.9695
11.040	0.9703
11.075	0.9717
11.110	0.9728
11.146	0.9737
11.182	0.9748
11.218	0.9760
11.254	0.9764
11.290	0.9763
11.327	0.9771
11.364	0.9779
11.401	0.9782
11.438	0.9783
11.476	0.9790
11.514	0.9801
11.552	0.9805
11.590	0.9807
11.629	0.9817
11.668	0.9831
11.707	0.9832
11.746	0.9831
11.786	0.9840
11.826	0.9841
11.866	0.9839
11.906	0.9846
11.947	0.9856
11.988	0.9862
12.029	0.9861
12.071	0.9854
12.113	0.9855
12.155	0.9866
12.198	0.9870
12.240	0.9875
12.283	0.9886
12.327	0.9886
12.371	0.9887
12.414	0.9894
12.459	0.9902
12.503	0.9899
12.548	0.9874
12.594	0.9862
12.639	0.9866
12.685	0.9878
12.731	0.9885
12.778	0.9864
12.825	0.9850
12.872	0.9864
12.920	0.9893
12.968	0.9902
13.016	0.9893
13.065	0.9893
13.114	0.9905
13.163	0.9904
13.213	0.9887
13.263	0.9865
13.314	0.9859
13.365	0.9871
13.416	0.9852
13.468	0.9809
13.520	0.9823
13.573	0.9840
13.626	0.9847
13.679	0.9885
13.733	0.9868
13.787	0.9830
13.842	0.9819
13.897	0.9806
13.952	0.9847
