Name:	Tertiary clay – Cypris serie rich in coal
Type:	Rock
Class:	sedimentary
Particle size:	<= 2 mm
Sample No: 21
Owner:	Institute for Environmental Studies, Charles University, Prague, Czech Republic
Origin:	Czech Republic
Lat:	50.2126228
Lon:	12.6435061

toxicity:	0.0
pH H2O:	2.19
pH KCl:	2.03
conductivity [µS.cm-1]:	3630
water soluble Na [mg.g-1]:	145
water soluble K [mg.g-1]:	12
Al in KCl [mg.kg-1]:	3062
Fe in KCl [mg.kg-1]:	892.41
loss of ignition [%]:	29.11
polyphenol content []:	23.7

References:	Frouz et al. 2005. “Determination of Toxicity of Spoil Substrates after Brown Coal Mining Using a Laboratory Reproduction Test with Enchytraeus Crypticus (Oligochaeta).” Water, Air, and Soil Pollution 162 (1-4): 37–47.

First Column [micrometers]:	wavelength
Second Column [percent]:	emissivity

8.001	0.9831
8.020	0.9835
8.038	0.9842
8.057	0.9857
8.075	0.9859
8.094	0.9845
8.113	0.9842
8.132	0.9846
8.151	0.9831
8.170	0.9822
8.189	0.9858
8.208	0.9867
8.228	0.9841
8.247	0.9820
8.267	0.9832
8.286	0.9828
8.306	0.9808
8.326	0.9821
8.346	0.9836
8.366	0.9828
8.386	0.9827
8.406	0.9826
8.427	0.9817
8.447	0.9803
8.468	0.9798
8.488	0.9796
8.509	0.9783
8.530	0.9778
8.551	0.9780
8.572	0.9774
8.593	0.9775
8.614	0.9776
8.635	0.9763
8.657	0.9745
8.678	0.9726
8.700	0.9709
8.722	0.9691
8.744	0.9680
8.766	0.9670
8.788	0.9646
8.810	0.9614
8.832	0.9606
8.855	0.9596
8.877	0.9588
8.900	0.9591
8.923	0.9611
8.945	0.9649
8.968	0.9688
8.992	0.9731
9.015	0.9764
9.038	0.9756
9.062	0.9728
9.085	0.9701
9.109	0.9667
9.133	0.9636
9.157	0.9609
9.181	0.9580
9.205	0.9559
9.229	0.9531
9.254	0.9491
9.279	0.9460
9.303	0.9436
9.328	0.9413
9.353	0.9391
9.378	0.9369
9.404	0.9362
9.429	0.9358
9.455	0.9343
9.480	0.9323
9.506	0.9304
9.532	0.9291
9.558	0.9285
9.585	0.9282
9.611	0.9281
9.637	0.9291
9.664	0.9317
9.691	0.9357
9.718	0.9417
9.745	0.9488
9.772	0.9542
9.800	0.9572
9.828	0.9573
9.855	0.9544
9.883	0.9510
9.911	0.9494
9.940	0.9497
9.968	0.9520
9.996	0.9558
10.025	0.9600
10.054	0.9626
10.083	0.9645
10.112	0.9667
10.142	0.9687
10.171	0.9700
10.201	0.9708
10.231	0.9722
10.261	0.9739
10.291	0.9754
10.322	0.9766
10.352	0.9779
10.383	0.9793
10.414	0.9804
10.445	0.9811
10.477	0.9823
10.508	0.9832
10.540	0.9826
10.572	0.9813
10.604	0.9802
10.636	0.9793
10.669	0.9786
10.702	0.9781
10.735	0.9784
10.768	0.9784
10.801	0.9765
10.835	0.9744
10.868	0.9733
10.902	0.9715
10.936	0.9687
10.971	0.9669
11.005	0.9667
11.040	0.9674
11.075	0.9682
11.110	0.9691
11.146	0.9704
11.182	0.9711
11.218	0.9715
11.254	0.9721
11.290	0.9725
11.327	0.9730
11.364	0.9732
11.401	0.9735
11.438	0.9744
11.476	0.9751
11.514	0.9754
11.552	0.9763
11.590	0.9773
11.629	0.9772
11.668	0.9766
11.707	0.9765
11.746	0.9779
11.786	0.9789
11.826	0.9793
11.866	0.9796
11.906	0.9798
11.947	0.9799
11.988	0.9800
12.029	0.9817
12.071	0.9853
12.113	0.9857
12.155	0.9833
12.198	0.9836
12.240	0.9835
12.283	0.9808
12.327	0.9814
12.371	0.9841
12.414	0.9833
12.459	0.9822
12.503	0.9828
12.548	0.9802
12.594	0.9784
12.639	0.9813
12.685	0.9840
12.731	0.9843
12.778	0.9830
12.825	0.9816
12.872	0.9818
12.920	0.9831
12.968	0.9827
13.016	0.9830
13.065	0.9847
13.114	0.9851
13.163	0.9848
13.213	0.9848
13.263	0.9843
13.314	0.9834
13.365	0.9827
13.416	0.9830
13.468	0.9826
13.520	0.9797
13.573	0.9781
13.626	0.9785
13.679	0.9813
13.733	0.9850
13.787	0.9878
13.842	0.9852
13.897	0.9789
13.952	0.9828
