Name:	Tertiary clay – Cypris serie - reddish
Type:	Rock
Class:	sedimentary
Particle size:	<= 2 mm
Sample No: 22
Owner:	Institute for Environmental Studies, Charles University, Prague, Czech Republic
Origin:	Czech Republic
Lat:	50.2125781
Lon:	12.6449544

toxicity:	0.23817
pH H2O:	7.8
pH KCl:	6.76
conductivity [µS.cm-1]:	390
water soluble Na [mg.g-1]:	56
water soluble K [mg.g-1]:	102
Al in KCl [mg.kg-1]:	16.68
Fe in KCl [mg.kg-1]:	13.03
loss of ignition [%]:	23.99
polyphenol content []:	NA

References:	Frouz et al. 2005. “Determination of Toxicity of Spoil Substrates after Brown Coal Mining Using a Laboratory Reproduction Test with Enchytraeus Crypticus (Oligochaeta).” Water, Air, and Soil Pollution 162 (1-4): 37–47.

First Column [micrometers]:	wavelength
Second Column [percent]:	emissivity

8.001	0.9592
8.020	0.9594
8.038	0.9597
8.057	0.9603
8.075	0.9603
8.094	0.9599
8.113	0.9601
8.132	0.9603
8.151	0.9610
8.170	0.9637
8.189	0.9647
8.208	0.9613
8.228	0.9596
8.247	0.9632
8.267	0.9664
8.286	0.9660
8.306	0.9675
8.326	0.9690
8.346	0.9683
8.366	0.9682
8.386	0.9692
8.406	0.9706
8.427	0.9714
8.447	0.9708
8.468	0.9709
8.488	0.9721
8.509	0.9739
8.530	0.9733
8.551	0.9719
8.572	0.9718
8.593	0.9709
8.614	0.9691
8.635	0.9679
8.657	0.9674
8.678	0.9671
8.700	0.9653
8.722	0.9632
8.744	0.9617
8.766	0.9601
8.788	0.9585
8.810	0.9564
8.832	0.9544
8.855	0.9534
8.877	0.9520
8.900	0.9507
8.923	0.9523
8.945	0.9564
8.968	0.9617
8.992	0.9685
9.015	0.9730
9.038	0.9718
9.062	0.9671
9.085	0.9610
9.109	0.9536
9.133	0.9478
9.157	0.9427
9.181	0.9368
9.205	0.9307
9.229	0.9244
9.254	0.9179
9.279	0.9123
9.303	0.9077
9.328	0.9032
9.353	0.8996
9.378	0.8960
9.404	0.8930
9.429	0.8910
9.455	0.8886
9.480	0.8867
9.506	0.8856
9.532	0.8843
9.558	0.8829
9.585	0.8826
9.611	0.8836
9.637	0.8851
9.664	0.8873
9.691	0.8924
9.718	0.9019
9.745	0.9134
9.772	0.9232
9.800	0.9292
9.828	0.9302
9.855	0.9266
9.883	0.9213
9.911	0.9172
9.940	0.9171
9.968	0.9213
9.996	0.9278
10.025	0.9343
10.054	0.9400
10.083	0.9447
10.112	0.9480
10.142	0.9511
10.171	0.9542
10.201	0.9567
10.231	0.9593
10.261	0.9624
10.291	0.9650
10.322	0.9669
10.352	0.9683
10.383	0.9695
10.414	0.9717
10.445	0.9745
10.477	0.9766
10.508	0.9776
10.540	0.9781
10.572	0.9780
10.604	0.9773
10.636	0.9762
10.669	0.9746
10.702	0.9735
10.735	0.9730
10.768	0.9729
10.801	0.9727
10.835	0.9709
10.868	0.9675
10.902	0.9643
10.936	0.9610
10.971	0.9586
11.005	0.9587
11.040	0.9600
11.075	0.9612
11.110	0.9632
11.146	0.9654
11.182	0.9673
11.218	0.9693
11.254	0.9708
11.290	0.9713
11.327	0.9719
11.364	0.9725
11.401	0.9728
11.438	0.9740
11.476	0.9755
11.514	0.9766
11.552	0.9773
11.590	0.9774
11.629	0.9776
11.668	0.9789
11.707	0.9815
11.746	0.9830
11.786	0.9823
11.826	0.9813
11.866	0.9816
11.906	0.9835
11.947	0.9845
11.988	0.9836
12.029	0.9832
12.071	0.9865
12.113	0.9918
12.155	0.9906
12.198	0.9874
12.240	0.9884
12.283	0.9914
12.327	0.9929
12.371	0.9920
12.414	0.9915
12.459	0.9925
12.503	0.9938
12.548	0.9934
12.594	0.9906
12.639	0.9896
12.685	0.9900
12.731	0.9908
12.778	0.9909
12.825	0.9903
12.872	0.9902
12.920	0.9907
12.968	0.9921
13.016	0.9927
13.065	0.9923
13.114	0.9933
13.163	0.9950
13.213	0.9957
13.263	0.9952
13.314	0.9953
13.365	0.9962
13.416	0.9960
13.468	0.9949
13.520	0.9954
13.573	0.9966
13.626	0.9962
13.679	0.9970
13.733	0.9958
13.787	0.9944
13.842	0.9960
13.897	0.9983
13.952	0.9991
