Name:	Cypris clay - high salinity
Type:	Rock
Class:	Sedimentary
Particle size:	<= 2 mm
Sample No: 29
Owner:	Institute for Environmental Studies, Charles University, Prague, Czech Republic
Origin:	Czech Republic
Lat:	50.2320200
Lon:	12.6505442

toxicity:	0.04433
pH H2O:	8.22
pH KCl:	7.56
conductivity [µS.cm-1]:	1880
water soluble Na [mg.g-1]:	1748
water soluble K [mg.g-1]:	182
Al in KCl [mg.kg-1]:	9.95
Fe in KCl [mg.kg-1]:	1.99
loss of ignition [%]:	18.54
polyphenol content []:	2.9

References:	Frouz et al. 2005. “Determination of Toxicity of Spoil Substrates after Brown Coal Mining Using a Laboratory Reproduction Test with Enchytraeus Crypticus (Oligochaeta).” Water, Air, and Soil Pollution 162 (1-4): 37–47.

First Column [micrometers]:	wavelength
Second Column [percent]:	emissivity

8.001	0.9685
8.020	0.9681
8.038	0.9673
8.057	0.9690
8.075	0.9702
8.094	0.9692
8.113	0.9695
8.132	0.9701
8.151	0.9706
8.170	0.9729
8.189	0.9718
8.208	0.9684
8.228	0.9695
8.247	0.9694
8.267	0.9683
8.286	0.9705
8.306	0.9715
8.326	0.9720
8.346	0.9729
8.366	0.9721
8.386	0.9713
8.406	0.9721
8.427	0.9731
8.447	0.9731
8.468	0.9732
8.488	0.9727
8.509	0.9725
8.530	0.9740
8.551	0.9749
8.572	0.9749
8.593	0.9740
8.614	0.9736
8.635	0.9735
8.657	0.9733
8.678	0.9729
8.700	0.9724
8.722	0.9722
8.744	0.9717
8.766	0.9716
8.788	0.9731
8.810	0.9733
8.832	0.9707
8.855	0.9695
8.877	0.9699
8.900	0.9710
8.923	0.9729
8.945	0.9750
8.968	0.9768
8.992	0.9788
9.015	0.9805
9.038	0.9803
9.062	0.9774
9.085	0.9740
9.109	0.9707
9.133	0.9677
9.157	0.9653
9.181	0.9631
9.205	0.9604
9.229	0.9574
9.254	0.9555
9.279	0.9548
9.303	0.9536
9.328	0.9511
9.353	0.9495
9.378	0.9491
9.404	0.9472
9.429	0.9452
9.455	0.9449
9.480	0.9458
9.506	0.9457
9.532	0.9446
9.558	0.9439
9.585	0.9435
9.611	0.9448
9.637	0.9466
9.664	0.9470
9.691	0.9485
9.718	0.9527
9.745	0.9571
9.772	0.9598
9.800	0.9617
9.828	0.9629
9.855	0.9621
9.883	0.9611
9.911	0.9605
9.940	0.9600
9.968	0.9615
9.996	0.9643
10.025	0.9667
10.054	0.9682
10.083	0.9692
10.112	0.9706
10.142	0.9718
10.171	0.9720
10.201	0.9725
10.231	0.9736
10.261	0.9746
10.291	0.9751
10.322	0.9752
10.352	0.9760
10.383	0.9769
10.414	0.9767
10.445	0.9768
10.477	0.9786
10.508	0.9803
10.540	0.9812
10.572	0.9810
10.604	0.9807
10.636	0.9814
10.669	0.9821
10.702	0.9822
10.735	0.9816
10.768	0.9810
10.801	0.9808
10.835	0.9806
10.868	0.9801
10.902	0.9791
10.936	0.9785
10.971	0.9782
11.005	0.9776
11.040	0.9772
11.075	0.9762
11.110	0.9751
11.146	0.9746
11.182	0.9737
11.218	0.9733
11.254	0.9739
11.290	0.9744
11.327	0.9747
11.364	0.9751
11.401	0.9762
11.438	0.9768
11.476	0.9761
11.514	0.9759
11.552	0.9759
11.590	0.9758
11.629	0.9761
11.668	0.9761
11.707	0.9759
11.746	0.9760
11.786	0.9760
11.826	0.9761
11.866	0.9767
11.906	0.9766
11.947	0.9772
11.988	0.9778
12.029	0.9753
12.071	0.9727
12.113	0.9737
12.155	0.9768
12.198	0.9779
12.240	0.9775
12.283	0.9791
12.327	0.9809
12.371	0.9809
12.414	0.9819
12.459	0.9830
12.503	0.9825
12.548	0.9814
12.594	0.9810
12.639	0.9813
12.685	0.9818
12.731	0.9820
12.778	0.9837
12.825	0.9850
12.872	0.9841
12.920	0.9844
12.968	0.9853
13.016	0.9848
13.065	0.9860
13.114	0.9881
13.163	0.9875
13.213	0.9857
13.263	0.9853
13.314	0.9866
13.365	0.9883
13.416	0.9890
13.468	0.9875
13.520	0.9872
13.573	0.9894
13.626	0.9893
13.679	0.9881
13.733	0.9892
13.787	0.9867
13.842	0.9804
13.897	0.9793
13.952	0.9867
