Name:	Clay - Cypris serie
Type:	Rock
Class:	sedimentary
Particle size:	<= 2 mm
Sample No: 30
Owner:	Institute for Environmental Studies, Charles University, Prague, Czech Republic
Origin:	Czech Republic
Lat:	50.2322808
Lon:	12.6509478

toxicity:	0.95587
pH H2O:	8.48
pH KCl:	7.84
conductivity [µS.cm-1]:	435
water soluble Na [mg.g-1]:	364
water soluble K [mg.g-1]:	177
Al in KCl [mg.kg-1]:	60.41
Fe in KCl [mg.kg-1]:	14.27
loss of ignition [%]:	15.64
polyphenol content []:	1.7

References:	Frouz et al. 2005. “Determination of Toxicity of Spoil Substrates after Brown Coal Mining Using a Laboratory Reproduction Test with Enchytraeus Crypticus (Oligochaeta).” Water, Air, and Soil Pollution 162 (1-4): 37–47.

First Column [micrometers]:	wavelength
Second Column [percent]:	emissivity

8.001	0.9448
8.020	0.9433
8.038	0.9396
8.057	0.9414
8.075	0.9435
8.094	0.9412
8.113	0.9409
8.132	0.9429
8.151	0.9423
8.170	0.9413
8.189	0.9441
8.208	0.9472
8.228	0.9467
8.247	0.9444
8.267	0.9465
8.286	0.9479
8.306	0.9461
8.326	0.9445
8.346	0.9459
8.366	0.9492
8.386	0.9502
8.406	0.9500
8.427	0.9500
8.447	0.9510
8.468	0.9512
8.488	0.9508
8.509	0.9505
8.530	0.9526
8.551	0.9540
8.572	0.9525
8.593	0.9510
8.614	0.9515
8.635	0.9515
8.657	0.9501
8.678	0.9488
8.700	0.9476
8.722	0.9466
8.744	0.9455
8.766	0.9436
8.788	0.9411
8.810	0.9384
8.832	0.9369
8.855	0.9364
8.877	0.9364
8.900	0.9374
8.923	0.9406
8.945	0.9459
8.968	0.9513
8.992	0.9566
9.015	0.9591
9.038	0.9562
9.062	0.9503
9.085	0.9436
9.109	0.9364
9.133	0.9304
9.157	0.9248
9.181	0.9190
9.205	0.9130
9.229	0.9071
9.254	0.9020
9.279	0.8975
9.303	0.8934
9.328	0.8898
9.353	0.8868
9.378	0.8844
9.404	0.8832
9.429	0.8822
9.455	0.8816
9.480	0.8818
9.506	0.8813
9.532	0.8808
9.558	0.8811
9.585	0.8813
9.611	0.8820
9.637	0.8849
9.664	0.8891
9.691	0.8940
9.718	0.9018
9.745	0.9119
9.772	0.9193
9.800	0.9225
9.828	0.9231
9.855	0.9219
9.883	0.9193
9.911	0.9178
9.940	0.9188
9.968	0.9227
9.996	0.9291
10.025	0.9345
10.054	0.9379
10.083	0.9408
10.112	0.9437
10.142	0.9461
10.171	0.9480
10.201	0.9501
10.231	0.9523
10.261	0.9539
10.291	0.9553
10.322	0.9568
10.352	0.9587
10.383	0.9607
10.414	0.9624
10.445	0.9636
10.477	0.9649
10.508	0.9667
10.540	0.9678
10.572	0.9679
10.604	0.9676
10.636	0.9668
10.669	0.9658
10.702	0.9654
10.735	0.9652
10.768	0.9646
10.801	0.9638
10.835	0.9622
10.868	0.9601
10.902	0.9572
10.936	0.9542
10.971	0.9524
11.005	0.9519
11.040	0.9531
11.075	0.9546
11.110	0.9556
11.146	0.9568
11.182	0.9578
11.218	0.9582
11.254	0.9576
11.290	0.9573
11.327	0.9583
11.364	0.9598
11.401	0.9610
11.438	0.9617
11.476	0.9624
11.514	0.9629
11.552	0.9631
11.590	0.9637
11.629	0.9644
11.668	0.9644
11.707	0.9639
11.746	0.9645
11.786	0.9663
11.826	0.9676
11.866	0.9674
11.906	0.9666
11.947	0.9673
11.988	0.9689
12.029	0.9704
12.071	0.9697
12.113	0.9672
12.155	0.9684
12.198	0.9705
12.240	0.9715
12.283	0.9745
12.327	0.9767
12.371	0.9756
12.414	0.9741
12.459	0.9728
12.503	0.9710
12.548	0.9693
12.594	0.9697
12.639	0.9716
12.685	0.9731
12.731	0.9743
12.778	0.9755
12.825	0.9742
12.872	0.9726
12.920	0.9755
12.968	0.9774
13.016	0.9771
13.065	0.9778
13.114	0.9791
13.163	0.9796
13.213	0.9790
13.263	0.9783
13.314	0.9789
13.365	0.9783
13.416	0.9771
13.468	0.9760
13.520	0.9755
13.573	0.9767
13.626	0.9765
13.679	0.9756
13.733	0.9765
13.787	0.9791
13.842	0.9790
13.897	0.9755
13.952	0.9781
