Name:	Bentonite
Type:	Rock
Class:	sedimentary
Particle size:	<= 2 mm
Sample No: 33
Owner:	Institute for Environmental Studies, Charles University, Prague, Czech Republic
Origin:	Bilina, Czech Republic
Lat:	NA
Lon:	NA

toxicity:	0.69031
pH H2O:	7.49
pH KCl:	6.46
conductivity [µS.cm-1]:	96
water soluble Na [mg.g-1]:	401
water soluble K [mg.g-1]:	193
Al in KCl [mg.kg-1]:	12.30
Fe in KCl [mg.kg-1]:	3.47
loss of ignition [%]:	3.85
polyphenol content []:	0.8

References:	Frouz et al. 2005. “Determination of Toxicity of Spoil Substrates after Brown Coal Mining Using a Laboratory Reproduction Test with Enchytraeus Crypticus (Oligochaeta).” Water, Air, and Soil Pollution 162 (1-4): 37–47.

First Column [micrometers]:	wavelength
Second Column [percent]:	emissivity

8.001	0.9935
8.020	0.9943
8.038	0.9935
8.057	0.9940
8.075	0.9962
8.094	0.9965
8.113	0.9948
8.132	0.9940
8.151	0.9933
8.170	0.9921
8.189	0.9942
8.208	0.9960
8.228	0.9950
8.247	0.9919
8.267	0.9917
8.286	0.9910
8.306	0.9894
8.326	0.9910
8.346	0.9926
8.366	0.9917
8.386	0.9919
8.406	0.9929
8.427	0.9925
8.447	0.9901
8.468	0.9889
8.488	0.9880
8.509	0.9859
8.530	0.9864
8.551	0.9869
8.572	0.9851
8.593	0.9842
8.614	0.9833
8.635	0.9812
8.657	0.9793
8.678	0.9778
8.700	0.9763
8.722	0.9743
8.744	0.9724
8.766	0.9710
8.788	0.9684
8.810	0.9651
8.832	0.9645
8.855	0.9642
8.877	0.9642
8.900	0.9642
8.923	0.9647
8.945	0.9664
8.968	0.9676
8.992	0.9687
9.015	0.9698
9.038	0.9693
9.062	0.9672
9.085	0.9644
9.109	0.9606
9.133	0.9571
9.157	0.9528
9.181	0.9480
9.205	0.9436
9.229	0.9374
9.254	0.9298
9.279	0.9231
9.303	0.9176
9.328	0.9131
9.353	0.9084
9.378	0.9033
9.404	0.9007
9.429	0.9003
9.455	0.9005
9.480	0.9014
9.506	0.9032
9.532	0.9062
9.558	0.9107
9.585	0.9142
9.611	0.9168
9.637	0.9203
9.664	0.9233
9.691	0.9255
9.718	0.9282
9.745	0.9317
9.772	0.9355
9.800	0.9388
9.828	0.9410
9.855	0.9422
9.883	0.9438
9.911	0.9462
9.940	0.9487
9.968	0.9509
9.996	0.9533
10.025	0.9563
10.054	0.9590
10.083	0.9607
10.112	0.9627
10.142	0.9645
10.171	0.9657
10.201	0.9672
10.231	0.9685
10.261	0.9695
10.291	0.9711
10.322	0.9725
10.352	0.9734
10.383	0.9744
10.414	0.9757
10.445	0.9767
10.477	0.9774
10.508	0.9774
10.540	0.9773
10.572	0.9776
10.604	0.9781
10.636	0.9785
10.669	0.9784
10.702	0.9787
10.735	0.9793
10.768	0.9793
10.801	0.9781
10.835	0.9771
10.868	0.9772
10.902	0.9766
10.936	0.9753
10.971	0.9741
11.005	0.9733
11.040	0.9736
11.075	0.9741
11.110	0.9744
11.146	0.9755
11.182	0.9763
11.218	0.9766
11.254	0.9768
11.290	0.9766
11.327	0.9764
11.364	0.9754
11.401	0.9748
11.438	0.9759
11.476	0.9766
11.514	0.9770
11.552	0.9782
11.590	0.9786
11.629	0.9779
11.668	0.9769
11.707	0.9754
11.746	0.9753
11.786	0.9772
11.826	0.9777
11.866	0.9767
11.906	0.9766
11.947	0.9779
11.988	0.9771
12.029	0.9799
12.071	0.9889
12.113	0.9879
12.155	0.9805
12.198	0.9795
12.240	0.9794
12.283	0.9791
12.327	0.9795
12.371	0.9793
12.414	0.9779
12.459	0.9769
12.503	0.9755
12.548	0.9723
12.594	0.9737
12.639	0.9792
12.685	0.9820
12.731	0.9811
12.778	0.9796
12.825	0.9784
12.872	0.9778
12.920	0.9798
12.968	0.9799
13.016	0.9802
13.065	0.9823
13.114	0.9825
13.163	0.9811
13.213	0.9792
13.263	0.9759
13.314	0.9747
13.365	0.9758
13.416	0.9780
13.468	0.9774
13.520	0.9698
13.573	0.9670
13.626	0.9693
13.679	0.9734
13.733	0.9792
13.787	0.9824
13.842	0.9772
13.897	0.9683
13.952	0.9744
