Name:	Loess
Type:	Rock
Class:	sedimentary
Particle size:	<= 2 mm
Sample No: 34
Owner:	Institute for Environmental Studies, Charles University, Prague, Czech Republic
Origin:	Bilina, Czech Republic
Lat:	NA
Lon:	NA

toxicity:	0.9604
pH H2O:	8.07
pH KCl:	7.13
conductivity [µS.cm-1]:	208
water soluble Na [mg.g-1]:	38
water soluble K [mg.g-1]:	44
Al in KCl [mg.kg-1]:	5.12
Fe in KCl [mg.kg-1]:	1.19
loss of ignition [%]:	7.79
polyphenol content []:	NA

References:	Frouz et al. 2005. “Determination of Toxicity of Spoil Substrates after Brown Coal Mining Using a Laboratory Reproduction Test with Enchytraeus Crypticus (Oligochaeta).” Water, Air, and Soil Pollution 162 (1-4): 37–47.

First Column [micrometers]:	wavelength
Second Column [percent]:	emissivity

8.001	0.9783
8.020	0.9755
8.038	0.9734
8.057	0.9729
8.075	0.9691
8.094	0.9625
8.113	0.9607
8.132	0.9600
8.151	0.9584
8.170	0.9589
8.189	0.9590
8.208	0.9567
8.228	0.9558
8.247	0.9547
8.267	0.9532
8.286	0.9532
8.306	0.9543
8.326	0.9566
8.346	0.9584
8.366	0.9576
8.386	0.9572
8.406	0.9590
8.427	0.9605
8.447	0.9595
8.468	0.9582
8.488	0.9578
8.509	0.9590
8.530	0.9592
8.551	0.9583
8.572	0.9593
8.593	0.9607
8.614	0.9614
8.635	0.9612
8.657	0.9597
8.678	0.9577
8.700	0.9538
8.722	0.9511
8.744	0.9494
8.766	0.9484
8.788	0.9500
8.810	0.9504
8.832	0.9462
8.855	0.9437
8.877	0.9439
8.900	0.9459
8.923	0.9487
8.945	0.9505
8.968	0.9521
8.992	0.9539
9.015	0.9539
9.038	0.9521
9.062	0.9493
9.085	0.9464
9.109	0.9427
9.133	0.9396
9.157	0.9381
9.181	0.9367
9.205	0.9347
9.229	0.9326
9.254	0.9316
9.279	0.9318
9.303	0.9319
9.328	0.9312
9.353	0.9315
9.378	0.9332
9.404	0.9336
9.429	0.9341
9.455	0.9359
9.480	0.9372
9.506	0.9380
9.532	0.9379
9.558	0.9370
9.585	0.9370
9.611	0.9386
9.637	0.9407
9.664	0.9417
9.691	0.9437
9.718	0.9471
9.745	0.9495
9.772	0.9516
9.800	0.9541
9.828	0.9558
9.855	0.9560
9.883	0.9561
9.911	0.9565
9.940	0.9562
9.968	0.9574
9.996	0.9600
10.025	0.9620
10.054	0.9635
10.083	0.9647
10.112	0.9665
10.142	0.9682
10.171	0.9691
10.201	0.9705
10.231	0.9728
10.261	0.9741
10.291	0.9744
10.322	0.9747
10.352	0.9754
10.383	0.9764
10.414	0.9773
10.445	0.9782
10.477	0.9795
10.508	0.9806
10.540	0.9815
10.572	0.9813
10.604	0.9808
10.636	0.9813
10.669	0.9819
10.702	0.9822
10.735	0.9814
10.768	0.9806
10.801	0.9809
10.835	0.9806
10.868	0.9802
10.902	0.9798
10.936	0.9791
10.971	0.9788
11.005	0.9791
11.040	0.9791
11.075	0.9786
11.110	0.9786
11.146	0.9787
11.182	0.9786
11.218	0.9786
11.254	0.9788
11.290	0.9789
11.327	0.9790
11.364	0.9794
11.401	0.9804
11.438	0.9807
11.476	0.9800
11.514	0.9801
11.552	0.9800
11.590	0.9799
11.629	0.9808
11.668	0.9813
11.707	0.9814
11.746	0.9817
11.786	0.9816
11.826	0.9816
11.866	0.9824
11.906	0.9832
11.947	0.9837
11.988	0.9837
12.029	0.9826
12.071	0.9802
12.113	0.9792
12.155	0.9822
12.198	0.9837
12.240	0.9832
12.283	0.9837
12.327	0.9846
12.371	0.9847
12.414	0.9844
12.459	0.9842
12.503	0.9829
12.548	0.9806
12.594	0.9804
12.639	0.9817
12.685	0.9818
12.731	0.9811
12.778	0.9814
12.825	0.9811
12.872	0.9801
12.920	0.9808
12.968	0.9811
13.016	0.9807
13.065	0.9826
13.114	0.9845
13.163	0.9842
13.213	0.9838
13.263	0.9831
13.314	0.9832
13.365	0.9851
13.416	0.9849
13.468	0.9829
13.520	0.9849
13.573	0.9884
13.626	0.9881
13.679	0.9858
13.733	0.9854
13.787	0.9839
13.842	0.9798
13.897	0.9790
13.952	0.9841
