Name:	Coal
Type:	Rock
Class:	sedimentary
Particle size:	<= 2 mm
Sample No: 38
Owner:	Institute for Environmental Studies, Charles University, Prague, Czech Republic
Origin:	Bilina, Czech Republic
Lat:	NA
Lon:	NA

toxicity:	0.12352
pH H2O:	5.25
pH KCl:	5.04
conductivity [µS.cm-1]:	504
water soluble Na [mg.g-1]:	564
water soluble K [mg.g-1]:	177
Al in KCl [mg.kg-1]:	17.04
Fe in KCl [mg.kg-1]:	3.83
loss of ignition [%]:	28.84
polyphenol content []:	12.8

References:	Frouz et al. 2005. “Determination of Toxicity of Spoil Substrates after Brown Coal Mining Using a Laboratory Reproduction Test with Enchytraeus Crypticus (Oligochaeta).” Water, Air, and Soil Pollution 162 (1-4): 37–47.

First Column [micrometers]:	wavelength
Second Column [percent]:	emissivity

8.001	0.9843
8.020	0.9825
8.038	0.9799
8.057	0.9803
8.075	0.9801
8.094	0.9807
8.113	0.9831
8.132	0.9837
8.151	0.9820
8.170	0.9825
8.189	0.9866
8.208	0.9864
8.228	0.9817
8.247	0.9785
8.267	0.9775
8.286	0.9781
8.306	0.9797
8.326	0.9809
8.346	0.9809
8.366	0.9801
8.386	0.9797
8.406	0.9790
8.427	0.9768
8.447	0.9766
8.468	0.9770
8.488	0.9762
8.509	0.9750
8.530	0.9756
8.551	0.9766
8.572	0.9756
8.593	0.9754
8.614	0.9766
8.635	0.9762
8.657	0.9741
8.678	0.9711
8.700	0.9694
8.722	0.9698
8.744	0.9691
8.766	0.9670
8.788	0.9639
8.810	0.9607
8.832	0.9596
8.855	0.9579
8.877	0.9558
8.900	0.9543
8.923	0.9543
8.945	0.9590
8.968	0.9644
8.992	0.9681
9.015	0.9695
9.038	0.9673
9.062	0.9633
9.085	0.9596
9.109	0.9559
9.133	0.9518
9.157	0.9466
9.181	0.9423
9.205	0.9388
9.229	0.9346
9.254	0.9304
9.279	0.9266
9.303	0.9227
9.328	0.9190
9.353	0.9165
9.378	0.9135
9.404	0.9106
9.429	0.9088
9.455	0.9079
9.480	0.9075
9.506	0.9062
9.532	0.9052
9.558	0.9056
9.585	0.9061
9.611	0.9065
9.637	0.9078
9.664	0.9099
9.691	0.9136
9.718	0.9211
9.745	0.9301
9.772	0.9358
9.800	0.9382
9.828	0.9382
9.855	0.9367
9.883	0.9345
9.911	0.9330
9.940	0.9340
9.968	0.9377
9.996	0.9429
10.025	0.9477
10.054	0.9512
10.083	0.9543
10.112	0.9571
10.142	0.9592
10.171	0.9613
10.201	0.9634
10.231	0.9651
10.261	0.9666
10.291	0.9684
10.322	0.9700
10.352	0.9716
10.383	0.9728
10.414	0.9738
10.445	0.9751
10.477	0.9773
10.508	0.9787
10.540	0.9788
10.572	0.9779
10.604	0.9767
10.636	0.9760
10.669	0.9754
10.702	0.9747
10.735	0.9744
10.768	0.9744
10.801	0.9740
10.835	0.9729
10.868	0.9706
10.902	0.9676
10.936	0.9649
10.971	0.9631
11.005	0.9636
11.040	0.9662
11.075	0.9682
11.110	0.9697
11.146	0.9715
11.182	0.9729
11.218	0.9739
11.254	0.9746
11.290	0.9747
11.327	0.9751
11.364	0.9756
11.401	0.9755
11.438	0.9759
11.476	0.9767
11.514	0.9765
11.552	0.9765
11.590	0.9776
11.629	0.9787
11.668	0.9797
11.707	0.9799
11.746	0.9794
11.786	0.9806
11.826	0.9819
11.866	0.9819
11.906	0.9815
11.947	0.9825
11.988	0.9842
12.029	0.9837
12.071	0.9838
12.113	0.9861
12.155	0.9862
12.198	0.9857
12.240	0.9853
12.283	0.9842
12.327	0.9855
12.371	0.9888
12.414	0.9907
12.459	0.9915
12.503	0.9921
12.548	0.9918
12.594	0.9924
12.639	0.9925
12.685	0.9910
12.731	0.9901
12.778	0.9905
12.825	0.9905
12.872	0.9898
12.920	0.9884
12.968	0.9883
13.016	0.9898
13.065	0.9911
13.114	0.9920
13.163	0.9928
13.213	0.9939
13.263	0.9945
13.314	0.9932
13.365	0.9909
13.416	0.9875
13.468	0.9842
13.520	0.9862
13.573	0.9909
13.626	0.9915
13.679	0.9924
13.733	0.9946
13.787	0.9929
13.842	0.9867
13.897	0.9810
13.952	0.9858
